time,code,release
93828,65363,0
94380,65363,1
94426,65362,1
94582,65362,0
94872,120,1
95004,120,0
95350,120,1
95467,120,0
95541,120,1
95658,120,0
95707,120,1
95844,120,0
96230,65363,0
99230,65362,1
99316,65363,1
99426,120,1
99523,65362,0
99578,120,0
99648,65362,1
99662,120,1
99789,120,0
99883,120,1
99905,65362,0
100010,120,0
100110,65362,1
100130,120,1
100322,120,0
100373,65362,0
100447,120,1
100499,65362,1
100634,120,0
100745,65362,0
100849,65363,0
100979,120,1
101146,120,0
101266,120,1
101417,120,0
101523,65361,1
101800,65361,0
102111,65363,1
102493,120,1
102735,120,0
102760,65362,1
103081,120,1
103202,65362,0
103218,120,0
103302,120,1
103328,65362,1
103439,120,0
103528,120,1
103595,65362,0
103645,120,0
103700,65362,1
103730,120,1
103851,120,0
103917,120,1
104098,120,0
104172,120,1
104198,120,0
104249,65362,0
104564,120,1
104706,120,0
106772,65361,1
106813,65363,0
109519,65363,1
109540,65361,0
110086,65362,1
110337,120,1
110475,65362,0
110494,120,0
110805,120,1
110820,65362,1
110992,120,0
111053,65362,0
111162,120,1
111299,120,0
111468,120,1
111600,120,0
112882,65363,0
115882,114,1
116033,114,0
116249,120,1
116375,120,0
116407,65362,1
116501,65363,1
116552,65362,0
116762,65363,0
117003,65361,1
117295,120,1
117311,65363,1
117331,65361,0
117426,120,0
117530,120,1
117647,120,0
117706,120,1
117815,120,0
118184,120,1
118310,120,0
120049,65363,0
120063,120,1
120204,120,0
120304,120,1
120440,120,0
120530,120,1
120646,120,0
120837,65363,1
121555,65362,1
121657,65362,0
121797,65363,0
122053,65363,1
122179,65363,0
122218,65361,1
122551,65361,0
122565,65363,1
122651,120,1
122777,120,0
122867,120,1
122898,65363,0
122927,65361,1
123008,120,0
123098,120,1
123220,120,0
123676,120,1
123798,120,0
124552,65361,0
127552,120,1
127683,120,0
127714,65361,1
127900,65361,0
128337,65361,1
128364,120,1
128524,120,0
128624,120,1
128756,120,0
129017,65361,0
129081,120,1
129208,120,0
129223,65363,1
129530,65362,1
129686,65362,0
131586,65363,0
